 # Id   alpha  r  the  phi  sigma_r   sigma_h   score #
 #  0 generation.# 
  38  10  74  85  519  2142.86  57142.9  0.000157776
  39  90  74  85  519  2428.57  71428.6  3.76794e-05
  40  50  74  85  519  2428.57  71428.6  4.56307e-05
  41  10  74  28  545  2428.57  71428.6  0.000253237
  42  10  71  85  300  2428.57  57142.9  3.60741e-05
  43  10  74  100  622  2428.57  14285.7  2.97921e-05
  44  10  74  57  596  2428.57  71428.6  7.94143e-05
  45  90  71  85  519  2428.57  71428.6  2.5095e-05

 #  11 generation.# 
  0  10  74  85  519  2428.57  71428.6  0.000400369
  1  10  74  85  519  2428.57  71428.6  0.000400369
  2  10  74  28  545  2428.57  71428.6  0.000253237
  3  0  74  85  506  2428.57  71428.6  3.23317e-05
  4  10  74  85  519  2142.86  57142.9  0.000157776
  5  10  74  28  519  2428.57  100000  5.35601e-05
  6  10  74  100  519  2428.57  71428.6  0.000346927
  7  10  74  85  519  2142.86  71428.6  0.000381485
  8  10  74  85  519  2428.57  71428.6  0.000400369
  9  80  74  85  519  2428.57  71428.6  3.88937e-05
  10  10  74  85  519  2428.57  71428.6  0.000400369
  11  10  74  28  570  2142.86  71428.6  0.000109945
  12  10  74  85  519  2428.57  71428.6  0.000400369
  13  10  74  85  519  2714.29  71428.6  0.000333179
  14  10  74  28  545  3000  71428.6  0.000206301
  15  10  74  85  532  2428.57  71428.6  0.000306116
  16  90  80  85  519  2428.57  71428.6  8.69985e-05
  17  10  74  85  519  3000  71428.6  0.000263667
  18  10  74  71  519  3000  71428.6  0.00021301
  19  10  80  28  519  2428.57  71428.6  4.5258e-05
  20  10  74  85  519  2428.57  71428.6  0.000400369
  21  10  74  85  519  2428.57  71428.6  0.000400369
  22  10  74  100  519  2428.57  71428.6  0.000346927
  23  10  74  85  519  3000  71428.6  0.000263667
  24  10  74  85  519  2428.57  71428.6  0.000400369
  25  20  74  85  519  2428.57  71428.6  0.000107709
  26  50  74  85  519  2714.29  71428.6  3.96979e-05
  27  10  74  85  519  2142.86  100000  7.13293e-05
  28  10  72  28  545  2428.57  71428.6  0.000115537
  29  20  74  85  622  1000  71428.6  4.85331e-05
  30  10  71  85  338  2142.86  71428.6  4.04268e-05
  31  10  72  85  519  2428.57  71428.6  0.000146305
  32  10  74  85  519  2428.57  71428.6  0.000400369
  33  10  74  85  519  2428.57  71428.6  0.000400369
  34  10  74  85  519  2428.57  71428.6  0.000400369
  35  10  74  85  312  2142.86  71428.6  3.87944e-05
  36  10  74  100  519  2428.57  71428.6  0.000346927
  37  90  74  28  506  2428.57  71428.6  4.2774e-05
  38  30  74  85  545  2428.57  71428.6  0.000103178
  39  10  74  85  312  2428.57  71428.6  3.79645e-05
  40  10  74  85  519  2142.86  71428.6  0.000381485
  41  10  72  28  545  2428.57  71428.6  0.000115537
  42  10  74  85  519  2142.86  71428.6  0.000381485
  43  10  74  28  519  3000  71428.6  0.000146357
  44  30  74  100  545  2142.86  71428.6  0.000167772
  45  10  72  28  519  2428.57  14285.7  2.8504e-05

 #  12 generation.# 
  0  10  74  85  519  2428.57  71428.6  0.000400369
  1  10  74  85  519  2428.57  71428.6  0.000400369
  2  10  74  85  519  2142.86  57142.9  0.000157776
  3  50  74  85  622  2428.57  71428.6  4.0614e-05
  4  10  74  85  519  2428.57  71428.6  0.000400369
  5  10  74  85  519  2428.57  71428.6  0.000400369
  6  50  74  85  519  2428.57  71428.6  4.56307e-05
  7  10  74  85  545  2142.86  71428.6  0.000181444
  8  90  74  85  519  2142.86  71428.6  4.1852e-05
  9  10  74  42  519  3000  71428.6  0.000144296
  10  10  74  28  519  2428.57  71428.6  0.00022992
  11  10  74  100  519  2428.57  71428.6  0.000346927
  12  10  74  85  519  2428.57  71428.6  0.000400369
  13  10  74  85  506  3000  71428.6  0.00017985
  14  10  74  85  519  2428.57  71428.6  0.000400369
  15  10  74  28  519  2428.57  71428.6  0.00022992
  16  10  74  100  519  2428.57  71428.6  0.000346927
  17  10  74  28  519  3000  71428.6  0.000146357
  18  10  74  85  519  1285.71  71428.6  0.000147764
  19  10  74  85  519  2428.57  71428.6  0.000400369
  20  10  74  85  519  2428.57  71428.6  0.000400369
  21  10  74  85  519  3000  71428.6  0.000263667
  22  10  74  85  519  2428.57  71428.6  0.000400369
  23  10  74  85  519  1285.71  71428.6  0.000147764
  24  90  74  85  519  2142.86  42857.1  0.000101536
  25  10  74  85  519  2142.86  71428.6  0.000381485
  26  10  74  28  596  2428.57  71428.6  7.76799e-05
  27  10  72  57  519  2142.86  71428.6  0.000137941
  28  10  74  85  519  2428.57  71428.6  0.000400369
  29  50  80  85  570  2428.57  71428.6  5.59328e-05
  30  10  74  85  519  2428.57  71428.6  0.000400369
  31  10  74  85  622  2428.57  71428.6  5.52758e-05
  32  10  74  85  519  2428.57  71428.6  0.000400369
  33  10  74  85  622  2142.86  71428.6  5.39058e-05
  34  10  74  85  519  2428.57  71428.6  0.000400369
  35  10  74  57  519  2428.57  71428.6  0.000287158
  36  10  80  85  519  2428.57  71428.6  4.75171e-05
  37  10  74  85  312  2142.86  71428.6  3.87944e-05
  38  90  74  85  519  2428.57  71428.6  3.76794e-05
  39  10  74  85  519  2428.57  71428.6  0.000400369
  40  10  74  100  519  2428.57  71428.6  0.000346927
  41  0  74  85  312  2428.57  71428.6  3.23317e-05
  42  10  74  28  519  2428.57  71428.6  0.00022992
  43  90  74  28  622  2428.57  14285.7  3.34601e-05
  44  10  74  85  312  2428.57  71428.6  3.79645e-05
  45  10  71  85  519  2428.57  71428.6  0.000116657

 #  13 generation.# 
  0  10  74  85  519  2428.57  71428.6  0.000400369
  1  10  74  85  519  2428.57  71428.6  0.000400369
  2  90  74  28  648  2428.57  14285.7  2.47105e-05
  3  10  74  85  519  2428.57  71428.6  0.000400369
  4  10  74  85  519  2428.57  71428.6  0.000400369
  5  30  74  85  519  2428.57  71428.6  6.21658e-05
  6  10  74  85  519  1285.71  71428.6  0.000147764
  7  10  74  85  519  2428.57  71428.6  0.000400369
  8  10  74  100  519  2428.57  100000  7.07982e-05
  9  10  71  85  519  2428.57  71428.6  0.000116657
  10  10  74  85  519  2142.86  71428.6  0.000381485
  11  10  74  85  506  2428.57  71428.6  0.000287725
  12  10  74  85  312  2428.57  100000  3.32449e-05
  13  10  74  85  506  2142.86  71428.6  0.000350465
  14  10  74  85  519  2428.57  71428.6  0.000400369
  15  10  74  85  519  2428.57  71428.6  0.000400369
  16  10  74  85  545  2142.86  71428.6  0.000181444
  17  10  74  85  519  2142.86  71428.6  0.000381485
  18  10  74  85  519  2428.57  71428.6  0.000400369
  19  10  74  85  519  3000  57142.9  0.000175771
  20  10  74  28  519  2428.57  71428.6  0.00022992
  21  10  74  85  545  2428.57  71428.6  0.000200005
  22  0  74  85  519  2428.57  71428.6  3.23317e-05
  23  10  74  85  545  2428.57  71428.6  0.000200005
  24  10  74  85  519  2428.57  71428.6  0.000400369
  25  10  74  85  312  2428.57  71428.6  3.79645e-05
  26  10  74  85  570  2142.86  57142.9  6.95162e-05
  27  10  74  85  519  2428.57  71428.6  0.000400369
  28  10  74  85  519  2428.57  71428.6  0.000400369
  29  10  72  28  506  2428.57  71428.6  7.25724e-05
  30  10  74  0  519  2428.57  71428.6  0.00020687
  31  10  74  85  519  2428.57  71428.6  0.000400369
  32  10  74  85  519  2428.57  14285.7  3.07724e-05
  33  10  80  85  519  2428.57  71428.6  4.75171e-05
  34  10  74  85  519  2142.86  71428.6  0.000381485
  35  10  74  85  519  1285.71  100000  0.000133223
  36  0  74  85  519  2142.86  57142.9  3.23317e-05
  37  10  80  28  622  2142.86  14285.7  3.38293e-05
  38  10  71  85  519  2428.57  71428.6  0.000116657
  39  10  71  85  545  2142.86  71428.6  9.77156e-05
  40  10  74  100  519  2428.57  71428.6  0.000346927
  41  0  74  85  519  1285.71  14285.7  3.23317e-05
  42  10  74  28  519  2428.57  71428.6  0.00022992
  43  10  74  85  519  1285.71  71428.6  0.000147764
  44  10  74  85  519  2714.29  71428.6  0.000333179
  45  10  72  28  519  2428.57  14285.7  2.8504e-05

 #  14 generation.# 
  0  10  74  85  519  2428.57  71428.6  0.000400369
  1  10  74  85  519  2428.57  71428.6  0.000400369
  2  10  74  85  622  2428.57  71428.6  5.52758e-05
  3  10  74  85  519  3000  71428.6  0.000263667
  4  10  74  85  519  1285.71  71428.6  0.000147764
  5  10  80  85  519  1000  71428.6  3.43547e-05
  6  10  74  85  519  2428.57  71428.6  0.000400369
  7  10  74  85  519  2428.57  57142.9  0.000173567
  8  10  74  85  519  2428.57  71428.6  0.000400369
  9  10  74  85  519  2428.57  71428.6  0.000400369
  10  10  74  85  532  2428.57  71428.6  0.000306116
  11  10  74  85  545  2428.57  71428.6  0.000200005
  12  10  74  85  519  2142.86  71428.6  0.000381485
  13  10  74  85  519  2428.57  71428.6  0.000400369
  14  10  74  85  519  2428.57  71428.6  0.000400369
  15  10  74  100  519  2142.86  71428.6  0.000304208
  16  10  74  85  519  2428.57  57142.9  0.000173567
  17  10  74  85  519  2428.57  71428.6  0.000400369
  18  10  74  85  519  2428.57  14285.7  3.07724e-05
  19  10  74  100  519  2714.29  71428.6  0.000333975
  20  10  74  0  519  2428.57  71428.6  0.00020687
  21  10  74  85  519  2428.57  71428.6  0.000400369
  22  10  74  85  519  1285.71  71428.6  0.000147764
  23  50  74  28  545  2142.86  71428.6  5.15382e-05
  24  10  74  85  519  3000  57142.9  0.000175771
  25  10  74  85  519  2142.86  71428.6  0.000381485
  26  50  74  85  519  3000  71428.6  3.75556e-05
  27  10  74  85  519  2142.86  71428.6  0.000381485
  28  10  74  85  519  2428.57  71428.6  0.000400369
  29  10  74  42  519  3000  71428.6  0.000144296
  30  10  74  85  545  2142.86  71428.6  0.000181444
  31  10  71  28  519  2142.86  71428.6  8.88347e-05
  32  10  74  85  506  3000  71428.6  0.00017985
  33  10  74  28  545  2428.57  71428.6  0.000253237
  34  10  74  85  519  2428.57  71428.6  0.000400369
  35  10  74  85  519  2428.57  71428.6  0.000400369
  36  10  74  85  519  3000  71428.6  0.000263667
  37  10  74  85  519  2428.57  100000  6.44063e-05
  38  10  74  85  570  1285.71  71428.6  7.43865e-05
  39  90  74  85  519  2428.57  71428.6  3.76794e-05
  40  10  74  85  519  2428.57  71428.6  0.000400369
  41  10  74  85  519  2142.86  71428.6  0.000381485
  42  10  74  85  545  2428.57  71428.6  0.000200005
  43  10  74  57  519  2428.57  71428.6  0.000287158
  44  10  74  85  519  2428.57  71428.6  0.000400369
  45  0  74  85  519  2428.57  57142.9  3.23317e-05

 #  15 generation.# 
  0  10  74  85  519  2428.57  71428.6  0.000400369
  1  10  74  85  519  2428.57  71428.6  0.000400369
  2  10  71  85  519  2428.57  71428.6  0.000116657
  3  10  74  85  519  2428.57  71428.6  0.000400369
  4  10  74  85  519  2142.86  71428.6  0.000381485
  5  10  74  85  519  2428.57  71428.6  0.000400369
  6  10  80  85  519  2142.86  71428.6  4.36814e-05
  7  0  74  85  519  2428.57  71428.6  3.23317e-05
  8  10  74  85  312  2428.57  71428.6  3.79645e-05
  9  10  74  85  519  2428.57  71428.6  0.000400369
  10  10  71  85  519  2428.57  71428.6  0.000116657
  11  10  74  85  622  2428.57  71428.6  5.52758e-05
  12  10  72  85  519  2428.57  57142.9  0.000114177
  13  90  74  85  519  2142.86  71428.6  4.1852e-05
  14  0  71  85  519  2142.86  71428.6  3.23317e-05
  15  10  74  85  506  2142.86  71428.6  0.000350465
  16  10  74  85  519  3000  57142.9  0.000175771
  17  10  74  85  519  2714.29  71428.6  0.000333179
  18  10  74  85  519  1000  100000  0.000149056
  19  10  74  85  519  2428.57  71428.6  0.000400369
  20  10  74  85  519  2428.57  71428.6  0.000400369
  21  10  74  85  519  2428.57  71428.6  0.000400369
  22  10  74  85  519  2428.57  71428.6  0.000400369
  23  0  74  85  545  2428.57  71428.6  3.23317e-05
  24  10  74  85  519  2428.57  71428.6  0.000400369
  25  10  74  57  519  2428.57  57142.9  0.000225619
  26  10  74  85  519  2428.57  71428.6  0.000400369
  27  10  80  85  519  3000  71428.6  5.87058e-05
  28  10  74  85  506  1285.71  71428.6  0.000183436
  29  10  71  100  519  2714.29  71428.6  0.000126648
  30  10  74  85  519  2428.57  71428.6  0.000400369
  31  10  77  85  545  2428.57  57142.9  6.0121e-05
  32  10  74  100  519  2714.29  57142.9  0.000137987
  33  10  74  100  622  2428.57  100000  8.20263e-05
  34  50  72  85  622  2428.57  71428.6  3.17519e-05
  35  30  74  28  519  2428.57  71428.6  5.13315e-05
  36  10  74  85  519  2142.86  71428.6  0.000381485
  37  10  74  85  312  2428.57  71428.6  3.79645e-05
  38  10  74  85  519  2428.57  71428.6  0.000400369
  39  10  74  85  312  3000  100000  3.27604e-05
  40  30  74  85  519  2428.57  71428.6  6.21658e-05
  41  10  74  28  506  2428.57  57142.9  0.000387835
  42  10  74  85  519  2428.57  71428.6  0.000400369
  43  10  74  28  570  1000  71428.6  6.86874e-05
  44  10  72  85  570  2428.57  100000  7.51719e-05
  45  10  74  28  622  2428.57  14285.7  3.36675e-05

 #  16 generation.# 
  0  10  74  85  519  2428.57  71428.6  0.000400369
  1  10  74  85  519  2428.57  71428.6  0.000400369
  2  10  74  57  519  2428.57  100000  5.71329e-05
  3  10  74  85  519  2428.57  71428.6  0.000400369
  4  10  74  85  519  2428.57  71428.6  0.000400369
  5  10  71  28  519  2428.57  71428.6  8.4924e-05
  6  10  74  85  519  2428.57  71428.6  0.000400369
  7  10  74  57  506  2428.57  71428.6  0.000159115
  8  10  74  85  532  1285.71  71428.6  0.000123183
  9  10  74  85  519  3000  71428.6  0.000263667
  10  10  74  85  519  2428.57  71428.6  0.000400369
  11  0  74  85  519  2428.57  71428.6  3.23317e-05
  12  10  74  100  519  1000  57142.9  7.40187e-05
  13  10  80  85  519  3000  71428.6  5.87058e-05
  14  10  74  85  519  2428.57  71428.6  0.000400369
  15  10  74  85  519  2714.29  71428.6  0.000333179
  16  10  74  85  519  2428.57  71428.6  0.000400369
  17  10  74  85  519  2714.29  71428.6  0.000333179
  18  10  74  85  519  2428.57  71428.6  0.000400369
  19  10  74  85  545  2428.57  71428.6  0.000200005
  20  10  74  85  519  2142.86  71428.6  0.000381485
  21  30  80  57  519  2428.57  71428.6  6.34698e-05
  22  10  74  28  519  2428.57  71428.6  0.00022992
  23  10  74  85  519  3000  71428.6  0.000263667
  24  10  74  85  519  2142.86  71428.6  0.000381485
  25  10  74  28  519  2428.57  71428.6  0.00022992
  26  10  72  85  519  2428.57  71428.6  0.000146305
  27  10  74  85  519  2428.57  14285.7  3.07724e-05
  28  10  74  85  519  2142.86  71428.6  0.000381485
  29  10  74  85  519  2428.57  71428.6  0.000400369
  30  30  74  85  519  2428.57  71428.6  6.21658e-05
  31  90  74  85  519  2428.57  57142.9  4.57024e-05
  32  10  74  85  519  2428.57  71428.6  0.000400369
  33  10  74  85  519  2428.57  71428.6  0.000400369
  34  10  74  28  570  1000  71428.6  6.86874e-05
  35  10  74  28  506  3000  57142.9  0.00021994
  36  10  80  85  519  2428.57  71428.6  4.75171e-05
  37  10  70  85  506  2428.57  71428.6  8.84093e-05
  38  10  74  85  519  2428.57  71428.6  0.000400369
  39  50  74  100  506  2428.57  57142.9  6.86138e-05
  40  0  74  85  545  2428.57  71428.6  3.23317e-05
  41  90  74  85  519  2142.86  71428.6  4.1852e-05
  42  10  74  85  519  2428.57  71428.6  0.000400369
  43  10  80  85  519  2428.57  71428.6  4.75171e-05
  44  10  74  85  506  2428.57  71428.6  0.000287725
  45  10  74  85  519  2428.57  71428.6  0.000400369

 #  17 generation.# 
  0  10  74  85  519  2428.57  71428.6  0.000400369
  1  10  74  85  519  2428.57  71428.6  0.000400369
  2  10  74  85  519  2428.57  71428.6  0.000400369
  3  10  74  28  545  3000  57142.9  0.000105051
  4  10  74  85  312  2428.57  71428.6  3.79645e-05
  5  10  74  100  519  2428.57  71428.6  0.000346927
  6  10  74  85  519  2428.57  14285.7  3.07724e-05
  7  90  74  85  519  2428.57  71428.6  3.76794e-05
  8  10  74  28  312  2428.57  71428.6  3.32538e-05
  9  10  74  57  519  2428.57  71428.6  0.000287158
  10  10  72  28  570  1000  71428.6  7.2435e-05
  11  10  72  85  519  3000  71428.6  0.000117265
  12  10  74  28  519  2428.57  57142.9  0.000216293
  13  10  74  85  519  2428.57  71428.6  0.000400369
  14  10  74  85  519  2428.57  71428.6  0.000400369
  15  0  74  85  545  2142.86  71428.6  3.23317e-05
  16  10  74  85  519  2428.57  71428.6  0.000400369
  17  10  74  28  506  2428.57  71428.6  0.000127046
  18  10  74  85  519  2428.57  71428.6  0.000400369
  19  10  74  57  519  2428.57  57142.9  0.000225619
  20  0  74  85  622  2428.57  71428.6  3.23317e-05
  21  10  74  85  506  3000  57142.9  0.000247046
  22  10  74  57  519  2714.29  57142.9  0.000227613
  23  10  74  100  519  2714.29  71428.6  0.000333975
  24  10  74  28  506  3000  85714.3  5.46917e-05
  25  10  70  85  519  2428.57  71428.6  9.84502e-05
  26  10  74  85  519  2428.57  71428.6  0.000400369
  27  10  72  85  519  2142.86  57142.9  0.000119468
  28  10  80  85  519  2428.57  71428.6  4.75171e-05
  29  10  72  85  519  2428.57  100000  5.47246e-05
  30  10  74  85  519  2142.86  57142.9  0.000157776
  31  30  74  85  519  2428.57  71428.6  6.21658e-05
  32  10  74  85  519  2428.57  71428.6  0.000400369
  33  10  80  85  519  2428.57  71428.6  4.75171e-05
  34  10  74  85  519  3000  14285.7  3.07591e-05
  35  10  74  28  545  2428.57  71428.6  0.000253237
  36  10  74  28  519  2142.86  71428.6  0.000300556
  37  90  74  28  519  2142.86  71428.6  4.04357e-05
  38  10  74  85  519  2428.57  71428.6  0.000400369
  39  30  74  85  312  2714.29  71428.6  2.67519e-05
  40  50  74  85  519  2142.86  71428.6  5.35122e-05
  41  110  74  85  312  3000  100000  1.95372e-05
  42  10  74  85  519  2142.86  71428.6  0.000381485
  43  10  74  85  519  2142.86  71428.6  0.000381485
  44  10  74  85  519  2428.57  71428.6  0.000400369
  45  50  74  85  519  2428.57  71428.6  4.56307e-05

 #  18 generation.# 
  0  10  74  85  519  2428.57  71428.6  0.000400369
  1  10  74  85  519  2428.57  71428.6  0.000400369
  2  10  70  28  519  2428.57  71428.6  7.3225e-05
  3  10  74  85  519  2428.57  71428.6  0.000400369
  4  10  74  85  519  2428.57  71428.6  0.000400369
  5  10  74  85  519  2428.57  71428.6  0.000400369
  6  10  72  57  506  2428.57  71428.6  8.57444e-05
  7  10  74  85  519  2428.57  71428.6  0.000400369
  8  10  74  28  545  2428.57  71428.6  0.000253237
  9  10  74  85  519  2428.57  71428.6  0.000400369
  10  50  80  85  519  2428.57  71428.6  7.4473e-05
  11  10  74  85  519  2428.57  71428.6  0.000400369
  12  10  72  85  519  3000  71428.6  0.000117265
  13  10  74  100  467  1857.14  57142.9  0.000231946
  14  10  74  57  519  2428.57  14285.7  2.54739e-05
  15  10  74  85  519  2428.57  71428.6  0.000400369
  16  10  74  28  545  3000  57142.9  0.000105051
  17  10  74  28  519  2142.86  71428.6  0.000300556
  18  10  74  100  519  2428.57  71428.6  0.000346927
  19  10  72  85  519  2142.86  71428.6  0.000175269
  20  30  74  28  519  2428.57  71428.6  5.13315e-05
  21  0  80  85  545  2428.57  71428.6  3.23317e-05
  22  10  80  85  519  2428.57  71428.6  4.75171e-05
  23  10  74  42  519  2428.57  71428.6  0.000242729
  24  10  74  85  519  2428.57  71428.6  0.000400369
  25  10  74  85  506  3000  57142.9  0.000247046
  26  10  74  85  519  2428.57  71428.6  0.000400369
  27  10  74  85  506  2428.57  71428.6  0.000287725
  28  50  74  85  519  2428.57  71428.6  4.56307e-05
  29  10  74  85  519  2428.57  71428.6  0.000400369
  30  10  74  85  519  2428.57  71428.6  0.000400369
  31  10  74  85  519  2428.57  71428.6  0.000400369
  32  0  74  85  519  2142.86  71428.6  3.23317e-05
  33  10  80  100  570  2428.57  71428.6  4.13383e-05
  34  50  74  85  519  2428.57  71428.6  4.56307e-05
  35  70  74  57  519  2428.57  57142.9  4.63486e-05
  36  30  74  85  519  2142.86  100000  3.45111e-05
  37  10  80  85  519  2428.57  71428.6  4.75171e-05
  38  10  72  28  519  2428.57  100000  4.08368e-05
  39  10  80  85  312  2428.57  71428.6  3.43016e-05
  40  10  72  85  519  3000  71428.6  0.000117265
  41  90  74  28  545  2428.57  71428.6  3.56464e-05
  42  10  74  85  519  2142.86  71428.6  0.000381485
  43  10  74  85  545  2428.57  71428.6  0.000200005
  44  90  74  85  519  2428.57  71428.6  3.76794e-05
  45  10  74  85  519  2428.57  71428.6  0.000400369

 #  19 generation.# 
  0  10  74  85  519  2428.57  71428.6  0.000400369
  1  10  74  85  519  2428.57  71428.6  0.000400369
  2  0  71  85  519  2428.57  57142.9  3.23317e-05
  3  10  74  85  519  2428.57  71428.6  0.000400369
  4  10  74  85  312  2428.57  71428.6  3.79645e-05
  5  10  74  85  519  2428.57  71428.6  0.000400369
  6  10  74  28  506  2428.57  71428.6  0.000127046
  7  10  74  85  519  2428.57  71428.6  0.000400369
  8  10  74  85  519  2428.57  71428.6  0.000400369
  9  10  71  85  519  2428.57  71428.6  0.000116657
  10  10  74  85  519  2428.57  71428.6  0.000400369
  11  10  72  85  519  2142.86  71428.6  0.000175269
  12  10  72  85  519  3000  14285.7  3.02711e-05
  13  90  74  100  519  2428.57  71428.6  3.97978e-05
  14  70  74  57  519  2428.57  57142.9  4.63486e-05
  15  10  71  28  519  2142.86  71428.6  8.88347e-05
  16  10  74  85  506  2142.86  71428.6  0.000350465
  17  10  74  28  519  2428.57  71428.6  0.00022992
  18  10  74  85  519  2142.86  71428.6  0.000381485
  19  10  74  57  519  3000  57142.9  0.000212847
  20  10  72  57  532  1285.71  71428.6  0.000144029
  21  10  74  28  519  2428.57  71428.6  0.00022992
  22  10  74  100  467  1857.14  57142.9  0.000231946
  23  10  74  85  506  2428.57  71428.6  0.000287725
  24  10  74  85  519  2428.57  71428.6  0.000400369
  25  10  74  85  622  2428.57  71428.6  5.52758e-05
  26  10  74  100  519  2428.57  71428.6  0.000346927
  27  10  72  85  519  2428.57  71428.6  0.000146305
  28  50  80  85  519  2428.57  71428.6  7.4473e-05
  29  30  74  57  519  2428.57  71428.6  4.94394e-05
  30  10  80  85  519  2428.57  71428.6  4.75171e-05
  31  10  74  28  506  2428.57  85714.3  6.42601e-05
  32  10  74  85  506  2428.57  71428.6  0.000287725
  33  10  74  85  506  2428.57  71428.6  0.000287725
  34  10  74  85  519  2428.57  71428.6  0.000400369
  35  30  74  85  622  2428.57  71428.6  4.78061e-05
  36  10  74  85  519  2428.57  71428.6  0.000400369
  37  10  74  85  519  3000  57142.9  0.000175771
  38  10  74  85  519  2428.57  71428.6  0.000400369
  39  10  74  28  338  2428.57  71428.6  3.71771e-05
  40  10  74  85  519  2428.57  71428.6  0.000400369
  41  10  71  85  519  2428.57  71428.6  0.000116657
  42  10  74  85  519  2428.57  71428.6  0.000400369
  43  90  74  100  519  2428.57  14285.7  3.06521e-05
  44  0  74  85  519  2428.57  57142.9  3.23317e-05
  45  110  74  85  519  2428.57  71428.6  3.59283e-05

 #  20 generation.# 
  0  10  74  85  519  2428.57  71428.6  0.000400369
  1  10  74  85  519  2428.57  71428.6  0.000400369
  2  10  74  28  519  1857.14  57142.9  0.000170587
  3  10  74  85  545  2428.57  71428.6  0.000200005
  4  10  74  100  519  2428.57  71428.6  0.000346927
  5  10  74  57  519  3000  71428.6  0.000168466
  6  10  80  85  519  2428.57  71428.6  4.75171e-05
  7  10  74  85  519  2428.57  71428.6  0.000400369
  8  10  74  85  506  2428.57  71428.6  0.000287725
  9  0  74  85  519  3000  71428.6  3.23317e-05
  10  10  74  85  545  3000  100000  7.34516e-05
  11  10  74  85  519  2428.57  71428.6  0.000400369
  12  10  74  85  519  1285.71  71428.6  0.000147764
  13  10  70  57  519  2428.57  71428.6  8.4635e-05
  14  10  74  100  674  1857.14  57142.9  3.66756e-05
  15  10  74  85  622  1285.71  71428.6  4.68013e-05
  16  10  74  85  300  2428.57  71428.6  3.6535e-05
  17  10  74  28  519  2428.57  71428.6  0.00022992
  18  10  80  85  519  3000  57142.9  4.99026e-05
  19  10  74  85  622  2142.86  57142.9  4.28352e-05
  20  10  74  85  622  2428.57  71428.6  5.52758e-05
  21  10  74  42  519  2428.57  71428.6  0.000242729
  22  10  74  85  519  2428.57  71428.6  0.000400369
  23  10  74  42  519  2428.57  71428.6  0.000242729
  24  10  72  85  519  2428.57  71428.6  0.000146305
  25  110  74  85  519  3000  57142.9  3.21469e-05
  26  10  74  85  519  2428.57  71428.6  0.000400369
  27  30  74  28  622  2428.57  57142.9  5.13095e-05
  28  80  74  100  519  3000  14285.7  3.0416e-05
  29  10  74  28  519  2428.57  71428.6  0.00022992
  30  10  74  85  519  2428.57  71428.6  0.000400369
  31  30  74  28  519  2428.57  71428.6  5.13315e-05
  32  10  74  85  570  2142.86  71428.6  0.000105329
  33  10  80  85  519  2428.57  71428.6  4.75171e-05
  34  10  74  85  519  2428.57  71428.6  0.000400369
  35  50  74  100  519  2428.57  71428.6  4.86714e-05
  36  10  74  85  545  2428.57  71428.6  0.000200005
  37  10  74  100  570  2428.57  57142.9  6.62574e-05
  38  50  80  85  519  2428.57  71428.6  7.4473e-05
  39  90  80  100  519  2428.57  71428.6  8.64757e-05
  40  10  71  85  648  2428.57  71428.6  4.4312e-05
  41  30  74  85  519  2428.57  71428.6  6.21658e-05
  42  10  74  100  519  2428.57  71428.6  0.000346927
  43  10  74  85  519  2142.86  14285.7  3.08584e-05
  44  30  74  28  441  2428.57  71428.6  4.72868e-05
  45  10  72  57  519  2428.57  14285.7  2.7532e-05

 #  21 generation.# 
  0  10  74  85  519  2428.57  71428.6  0.000400369
  1  10  74  85  519  2428.57  71428.6  0.000400369
  2  10  74  85  596  2428.57  71428.6  7.50688e-05
  3  10  74  100  519  2428.57  71428.6  0.000346927
  4  10  74  85  519  2428.57  71428.6  0.000400369
  5  10  74  85  519  2428.57  71428.6  0.000400369
  6  10  74  85  312  2428.57  71428.6  3.79645e-05
  7  10  74  100  519  2428.57  71428.6  0.000346927
  8  10  74  85  545  2428.57  71428.6  0.000200005
  9  30  74  85  519  2428.57  71428.6  6.21658e-05
  10  10  74  100  519  2428.57  71428.6  0.000346927
  11  10  74  100  519  2428.57  71428.6  0.000346927
  12  10  80  57  519  3000  100000  6.38322e-05
  13  10  74  85  519  2428.57  71428.6  0.000400369
  14  50  72  85  519  2428.57  71428.6  3.32869e-05
  15  10  74  85  519  1285.71  100000  0.000133223
  16  10  74  85  519  2428.57  71428.6  0.000400369
  17  30  74  85  300  2428.57  71428.6  2.94229e-05
  18  10  74  85  519  2428.57  71428.6  0.000400369
  19  10  74  85  519  2428.57  57142.9  0.000173567
  20  30  74  85  519  2428.57  71428.6  6.21658e-05
  21  10  74  28  545  2428.57  71428.6  0.000253237
  22  10  74  42  519  1285.71  71428.6  0.000172582
  23  10  74  85  519  2428.57  57142.9  0.000173567
  24  10  72  85  519  2428.57  71428.6  0.000146305
  25  10  72  28  312  2428.57  57142.9  3.34764e-05
  26  10  74  42  519  2428.57  71428.6  0.000242729
  27  10  74  28  519  2428.57  71428.6  0.00022992
  28  10  74  85  519  2428.57  71428.6  0.000400369
  29  10  74  85  519  2428.57  71428.6  0.000400369
  30  10  74  85  545  2428.57  71428.6  0.000200005
  31  90  80  85  519  3000  71428.6  0.000173365
  32  10  74  85  506  2142.86  71428.6  0.000350465
  33  10  74  85  622  2428.57  71428.6  5.52758e-05
  34  50  74  100  674  1857.14  57142.9  3.54533e-05
