 # Id   alpha  r  the  phi  sigma_r   sigma_h   score #
 #  0 generation.# 
  23  30  74  71  519  2142.86  71428.6  6.75427e-05
  24  10  72  100  519  2428.57  71428.6  0.000173402
  25  70  80  85  674  1285.71  71428.6  3.58803e-05
  26  30  74  100  519  2428.57  71428.6  7.5554e-05
  27  0  70  42  545  1000  57142.9  3.23317e-05
  28  10  74  85  519  2428.57  71428.6  0.000400369
  29  90  72  57  519  1285.71  100000  2.58658e-05
  30  10  74  100  519  2428.57  71428.6  0.000346927
  31  90  74  42  622  2428.57  71428.6  3.47387e-05
  32  10  74  100  519  2428.57  71428.6  0.000346927
  33  10  72  100  519  1285.71  85714.3  0.000177053
  34  10  71  100  519  2428.57  71428.6  0.000128426
  35  50  74  14  622  2714.29  71428.6  3.91001e-05
  36  10  74  100  545  2428.57  71428.6  0.000160951
  37  10  74  100  312  2428.57  14285.7  2.9688e-05
  38  10  74  100  519  2428.57  71428.6  0.000346927
  39  10  74  71  364  2428.57  14285.7  2.59959e-05
  40  10  74  100  506  2428.57  71428.6  0.000355035
  41  10  75  100  519  1857.14  100000  0.000117779
  42  10  74  100  622  2428.57  71428.6  5.32925e-05
  43  40  74  42  519  2714.29  57142.9  4.5733e-05
  44  10  74  100  622  2428.57  71428.6  5.32925e-05
  45  0  71  42  519  2428.57  71428.6  3.23317e-05

 #  3 generation.# 
  0  10  74  85  519  2428.57  71428.6  0.000400369
  1  10  74  71  519  2428.57  71428.6  0.00035967
  2  10  74  85  519  2428.57  71428.6  0.000400369
  3  0  74  100  519  2428.57  71428.6  3.23317e-05
  4  10  74  28  519  2428.57  71428.6  0.00022992
  5  10  74  85  519  2428.57  71428.6  0.000400369
  6  10  71  85  545  2428.57  71428.6  9.87309e-05
  7  10  71  71  519  2428.57  71428.6  0.000105881
  8  90  74  85  519  2428.57  71428.6  3.76794e-05
  9  10  74  85  519  2428.57  71428.6  0.000400369
  10  10  74  85  519  2428.57  14285.7  3.07724e-05
  11  0  74  100  519  3000  71428.6  3.23317e-05
  12  10  74  85  519  2428.57  71428.6  0.000400369
  13  10  74  100  519  2428.57  100000  7.07982e-05
  14  10  74  85  519  2428.57  71428.6  0.000400369
  15  10  74  100  519  2428.57  71428.6  0.000346927
  16  10  71  85  506  2428.57  71428.6  0.000101616
  17  10  74  85  519  2428.57  14285.7  3.07724e-05
  18  10  74  85  519  2428.57  71428.6  0.000400369
  19  10  71  85  519  2428.57  71428.6  0.000116657
  20  10  74  85  519  2428.57  71428.6  0.000400369
  21  130  80  100  570  2428.57  71428.6  6.72971e-05
  22  10  74  85  519  2428.57  71428.6  0.000400369
  23  10  70  100  570  2428.57  14285.7  2.91898e-05
  24  10  74  85  519  2428.57  71428.6  0.000400369
  25  10  70  85  519  2428.57  14285.7  3.0043e-05
  26  20  74  85  519  2428.57  71428.6  0.000107709
  27  10  71  85  506  2428.57  71428.6  0.000101616
  28  10  74  85  519  2428.57  71428.6  0.000400369
  29  0  74  85  519  2428.57  71428.6  3.23317e-05
  30  10  74  85  519  2428.57  71428.6  0.000400369
  31  10  71  85  519  1000  57142.9  4.86681e-05
  32  10  74  85  519  2428.57  57142.9  0.000173567
  33  0  71  28  519  2142.86  71428.6  3.23317e-05
  34  10  74  28  519  2142.86  71428.6  0.000300556
  35  10  71  57  403  2142.86  71428.6  3.96205e-05
  36  30  74  85  519  2428.57  71428.6  6.21658e-05
  37  0  70  28  519  1285.71  14285.7  3.23317e-05
  38  10  74  85  519  2428.57  71428.6  0.000400369
  39  60  71  100  519  2428.57  57142.9  4.04143e-05
  40  10  74  85  519  2428.57  71428.6  0.000400369
  41  80  74  85  312  2142.86  71428.6  2.64627e-05
  42  0  74  85  519  2428.57  71428.6  3.23317e-05
  43  10  74  85  506  2142.86  42857.1  7.31626e-05
  44  10  74  100  519  2428.57  71428.6  0.000346927
  45  0  74  57  519  2142.86  71428.6  3.23317e-05

 #  4 generation.# 
  0  10  74  85  519  2428.57  71428.6  0.000400369
  1  10  74  85  519  2428.57  71428.6  0.000400369
  2  10  71  85  506  2428.57  71428.6  0.000101616
  3  10  74  100  570  3000  57142.9  7.055e-05
  4  10  74  85  519  2428.57  71428.6  0.000400369
  5  10  74  85  570  2428.57  71428.6  0.000111038
  6  10  74  85  519  2428.57  100000  6.44063e-05
  7  90  74  42  519  2428.57  71428.6  3.64677e-05
  8  10  74  100  519  2428.57  71428.6  0.000346927
  9  10  74  100  519  2428.57  71428.6  0.000346927
  10  10  74  85  519  2428.57  71428.6  0.000400369
  11  30  74  85  519  2428.57  71428.6  6.21658e-05
  12  10  74  85  519  2428.57  71428.6  0.000400369
  13  10  71  100  519  2428.57  71428.6  0.000128426
  14  0  74  100  519  2428.57  71428.6  3.23317e-05
  15  10  72  28  519  2428.57  57142.9  0.000105924
  16  10  74  85  519  2428.57  71428.6  0.000400369
  17  10  74  85  519  2428.57  71428.6  0.000400369
  18  10  71  85  506  2428.57  71428.6  0.000101616
  19  10  71  42  519  2428.57  14285.7  2.92613e-05
  20  10  74  28  519  2142.86  71428.6  0.000300556
  21  10  74  100  519  2428.57  71428.6  0.000346927
  22  10  74  100  519  2428.57  100000  7.07982e-05
  23  10  72  100  338  2428.57  71428.6  4.04858e-05
  24  0  74  85  506  2428.57  71428.6  3.23317e-05
  25  30  74  85  519  2428.57  71428.6  6.21658e-05
  26  10  74  28  519  2428.57  71428.6  0.00022992
  27  10  74  100  622  2428.57  71428.6  5.32925e-05
  28  30  74  85  519  2428.57  71428.6  6.21658e-05
  29  50  80  42  519  2142.86  71428.6  5.80605e-05
  30  10  74  85  519  2428.57  71428.6  0.000400369
  31  10  74  14  519  2714.29  71428.6  0.000169811
  32  0  74  85  312  2428.57  71428.6  3.23317e-05
  33  90  80  85  519  2428.57  71428.6  8.69985e-05
  34  10  74  85  519  2428.57  71428.6  0.000400369
  35  90  74  42  312  2428.57  71428.6  2.38932e-05
  36  90  74  85  519  2428.57  71428.6  3.76794e-05
  37  10  80  28  519  2428.57  71428.6  4.5258e-05
  38  10  74  85  519  2428.57  71428.6  0.000400369
  39  10  74  85  519  2428.57  57142.9  0.000173567
  40  10  74  85  519  2428.57  71428.6  0.000400369
  41  50  80  14  506  2428.57  71428.6  6.58834e-05
  42  10  74  28  519  2142.86  71428.6  0.000300556
  43  120  71  100  519  2142.86  14285.7  2.89639e-05
  44  10  74  28  519  2714.29  71428.6  0.000178537
  45  90  72  0  519  1285.71  71428.6  3.91271e-05

 #  5 generation.# 
  0  10  74  85  519  2428.57  71428.6  0.000400369
  1  10  74  85  519  2428.57  71428.6  0.000400369
  2  10  74  85  622  2428.57  71428.6  5.52758e-05
  3  10  74  28  519  2428.57  71428.6  0.00022992
  4  10  80  85  519  2428.57  71428.6  4.75171e-05
  5  0  80  0  506  2428.57  71428.6  3.23317e-05
  6  10  74  100  519  2428.57  71428.6  0.000346927
  7  10  74  85  519  2428.57  71428.6  0.000400369
  8  50  74  85  519  2428.57  71428.6  4.56307e-05
  9  10  74  28  312  2714.29  71428.6  3.52198e-05
  10  30  74  85  519  2428.57  71428.6  6.21658e-05
  11  10  74  85  519  2428.57  71428.6  0.000400369
  12  10  80  28  519  2142.86  71428.6  4.17358e-05
  13  10  74  85  519  2428.57  100000  6.44063e-05
  14  10  74  85  519  2428.57  100000  6.44063e-05
  15  0  74  85  519  2428.57  71428.6  3.23317e-05
  16  10  74  85  519  2142.86  71428.6  0.000381485
  17  10  74  85  519  2428.57  71428.6  0.000400369
  18  10  71  85  506  2428.57  71428.6  0.000101616
  19  10  74  85  519  3000  57142.9  0.000175771
  20  10  74  100  519  2428.57  71428.6  0.000346927
  21  10  74  85  519  1285.71  71428.6  0.000147764
  22  10  74  85  506  2428.57  71428.6  0.000287725
  23  10  71  85  506  2428.57  71428.6  0.000101616
  24  10  74  85  519  2428.57  71428.6  0.000400369
  25  10  71  85  545  2428.57  71428.6  9.87309e-05
  26  10  74  28  519  2428.57  71428.6  0.00022992
  27  10  74  100  570  2428.57  71428.6  9.77286e-05
  28  10  74  85  519  2428.57  71428.6  0.000400369
  29  10  74  85  519  2428.57  71428.6  0.000400369
  30  50  80  42  519  2142.86  71428.6  5.80605e-05
  31  20  74  100  519  2428.57  71428.6  0.000140867
  32  10  74  85  519  2428.57  71428.6  0.000400369
  33  90  74  100  519  2428.57  71428.6  3.97978e-05
  34  30  74  85  519  2142.86  71428.6  7.22703e-05
  35  10  74  85  519  2428.57  71428.6  0.000400369
  36  10  74  85  519  2428.57  100000  6.44063e-05
  37  0  74  85  519  3000  71428.6  3.23317e-05
  38  10  74  57  519  2428.57  71428.6  0.000287158
  39  10  70  85  519  1285.71  14285.7  3.19965e-05
  40  10  74  85  519  2428.57  71428.6  0.000400369
  41  10  74  85  519  2428.57  71428.6  0.000400369
  42  10  80  85  519  2428.57  71428.6  4.75171e-05
  43  10  70  85  519  2428.57  71428.6  9.84502e-05
  44  10  74  100  519  2428.57  71428.6  0.000346927
  45  90  74  0  312  2142.86  100000  2.11646e-05

 #  6 generation.# 
  0  10  74  85  519  2428.57  71428.6  0.000400369
  1  10  74  85  519  2428.57  71428.6  0.000400369
  2  10  74  85  519  2428.57  71428.6  0.000400369
  3  10  74  28  519  2428.57  71428.6  0.00022992
  4  10  74  85  519  2428.57  71428.6  0.000400369
  5  10  74  85  519  2428.57  71428.6  0.000400369
  6  10  74  85  519  2428.57  14285.7  3.07724e-05
  7  10  74  85  519  2428.57  71428.6  0.000400369
  8  10  74  85  519  2428.57  71428.6  0.000400369
  9  10  74  85  519  2428.57  71428.6  0.000400369
  10  10  74  85  519  2428.57  71428.6  0.000400369
