 # Ind   alpha  r  the  phi  sigma_r   sigma_h   score #
 #   0 generation   #
8  50   77   28   532   2142.86   60000
9  50   77   28   532   2142.86   60000
10  50   77   28   532   2428.57   60000
11  70   77   42   545   2142.86   60000
12  40   77   85   583   2142.86   60000
13  10   71   28   532   2142.86   60000
14  50   77   28   532   2142.86   60000
15  40   77   28   532   2142.86   60000
16  0   71   28   532   2142.86   60000
17  50   77   28   532   2142.86   60000
18  40   80   28   532   2142.86   60000
19  60   77   28   532   2142.86   60000
20  50   77   28   532   3000   60000
21  70   77   28   532   1000   60000
22  50   77   28   532   2142.86   60000
23  50   77   28   532   2142.86   60000

 #   7 generation   #
0  10   71   28   532   2142.86   60000
1  10   71   28   532   2142.86   60000
2  10   77   28   532   2714.29   60000
3  50   77   28   532   3000   60000
4  40   77   28   532   2142.86   80000
5  70   77   100   596   2142.86   60000
6  40   77   28   532   2142.86   60000
7  60   77   28   532   2142.86   60000
8  50   77   28   532   2142.86   60000
9  10   77   28   532   2428.57   60000
10  40   77   28   532   2142.86   60000
11  60   77   28   532   2142.86   60000
12  10   71   28   532   2142.86   60000
13  10   71   28   532   2142.86   60000
14  50   77   28   532   2142.86   60000
15  50   77   28   532   2142.86   60000
16  50   71   28   635   2142.86   60000
17  0   77   0   506   2142.86   40000
18  50   71   28   532   2142.86   60000
19  0   77   28   532   2142.86   60000
20  50   77   28   532   2142.86   60000
21  40   77   28   532   2714.29   60000
22  50   77   28   635   2142.86   60000
23  50   77   28   532   2142.86   60000

 #   8 generation   #
0  10   71   28   532   2142.86   60000
1  10   71   28   532   2142.86   60000
2  50   77   28   325   2142.86   60000
3  10   71   28   532   2142.86   60000
4  50   77   28   532   2142.86   40000
5  50   77   28   635   2142.86   60000
6  40   77   28   532   2142.86   60000
7  40   77   28   532   2142.86   60000
8  50   77   28   532   2428.57   60000
9  50   77   28   532   2714.29   60000
10  50   77   28   532   2142.86   60000
11  10   71   0   506   2142.86   60000
12  10   71   28   532   2142.86   60000
13  10   71   0   506   2714.29   60000
14  10   77   85   583   2142.86   60000
15  50   74   85   583   2142.86   60000
16  50   71   28   532   2142.86   60000
17  10   77   28   532   2142.86   60000
18  130   77   28   532   2142.86   60000
19  40   77   28   532   1000   60000
20  20   71   28   532   2142.86   60000
