0 7.28821e-05
1 0.000660092
2 0.000660092
3 0.000660092
4 0.000660092
5 0.000660092
6 0.000660092
7 0.00105426
8 0.00105426
9 0.00105426
10 0.00105426
11 0.00105426
12 0.00105426
13 0.00105426
14 0.00105426
15 0.00105426
16 0.00105426
17 0.00105426
18 0.00105426
19 0.00105426
20 0.00105426
21 0.00105426
22 0.00105426
23 0.00105426
24 0.00105426
25 0.00105426
26 0.00105426
27 0.00105426
28 0.00105426
29 0.00105426
30 0.00105426
31 0.00105426
32 0.00105426
33 0.00105426
34 0.00105426
35 0.00105426
36 0.00232503
37 0.00105426
38 0.00232503
39 0.00232503
40 0.00232503
