2.38946e+07 60
2.07485e+07 61
1.80563e+07 62
1.56349e+07 63
1.35189e+07 64
1.1719e+07 65
1.0149e+07 66
8.74959e+06 67
7.56423e+06 68
6.51023e+06 69
5.61951e+06 70
4.84718e+06 71
4.17809e+06 72
3.58226e+06 73
3.08308e+06 74
2.65095e+06 75
2.26852e+06 76
1.94695e+06 77
1.66297e+06 78
1.42468e+06 79
1.21466e+06 80
1.03465e+06 81
880501 82
751683 83
638534 84
541912 85
457553 86
387571 87
327981 88
276082 89
233173 90
195852 91
165028 92
138211 93
116088 94
97330.9 95
81840.6 96
68688.9 97
57544.1 98
48587.3 99
